time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene
23_04_2021 23h53min52seg,204,-1,3200,345,92,600,500,0,0,2700,0,671,0,100,0
23_04_2021 23h54min15seg,205,-1,2610,648,830,600,800,0,0,2760,0,0,0,400,0
23_04_2021 23h54min35seg,206,-1,3565,395,5,600,400,0,0,3065,0,615,0,100,0
23_04_2021 23h54min53seg,207,-1,3055,329,8,600,400,0,0,2605,0,503,0,0,0
23_04_2021 23h55min13seg,208,-1,3555,411,280,600,500,0,0,3055,0,671,0,100,0
23_04_2021 23h55min31seg,209,-1,3235,354,25,600,400,0,0,2785,0,531,0,100,0
23_04_2021 23h55min50seg,210,-1,3325,361,10,600,400,0,0,2825,0,531,0,0,0
23_04_2021 23h56min11seg,211,-1,2830,422,282,600,500,0,0,2880,0,0,0,100,0
23_04_2021 23h56min32seg,212,-1,4320,465,26,600,400,0,0,3720,0,643,0,0,0
23_04_2021 23h56min49seg,213,-1,3165,325,17,600,400,0,0,2565,0,615,0,0,0
23_04_2021 23h57min09seg,214,-1,2505,409,7,600,400,0,0,3055,0,251,0,800,0
23_04_2021 23h57min26seg,215,-1,3125,323,6,600,400,0,0,2525,0,671,0,0,0
23_04_2021 23h57min44seg,216,-1,3470,350,9,600,400,0,0,2820,0,727,0,0,0
23_04_2021 23h58min07seg,217,-1,2480,322,352,600,500,0,0,2480,0,0,0,100,0
23_04_2021 23h58min26seg,218,-1,3545,359,3,600,400,0,0,2895,0,699,0,0,0
23_04_2021 23h58min47seg,219,-1,3160,362,276,600,500,0,0,2660,0,167,0,100,0
23_04_2021 23h59min05seg,220,-1,3085,302,6,600,400,0,0,2435,0,727,0,0,0
23_04_2021 23h59min23seg,221,-1,3575,365,10,600,400,0,0,2925,0,699,0,0,0
23_04_2021 23h59min41seg,222,-1,3405,344,12,600,400,0,0,2755,0,699,0,0,0
24_04_2021 00h00min00seg,223,-1,3695,379,18,600,400,0,0,3045,0,671,0,0,0
24_04_2021 00h00min20seg,224,-1,3970,411,27,600,400,0,0,3320,0,727,0,0,0
24_04_2021 00h00min39seg,225,-1,3665,373,21,600,400,0,0,3015,0,671,0,0,0
