time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
26_04_2021 18h01min14seg,111,-1,4645,494,3,600,400,0,0,3995,0,699,0,0,0,7920
26_04_2021 18h01min40seg,112,-1,4390,509,388,600,700,0,0,4040,0,0,0,300,0,8700
26_04_2021 18h02min05seg,113,-1,4850,463,579,700,500,0,0,4300,0,223,0,200,0,8160
26_04_2021 18h02min34seg,114,-1,5770,630,6,600,400,0,0,5120,0,727,0,0,0,10100
26_04_2021 18h03min00seg,115,-1,4274,500,525,600,675,0,0,3595,304,0,0,275,0,8540
26_04_2021 18h03min34seg,116,-1,5290,1054,1490,750,950,0,0,5290,0,0,0,700,0,11080
26_04_2021 18h04min08seg,117,-1,4521,626,789,600,775,0,0,4580,116,0,0,675,0,10740
26_04_2021 18h04min33seg,118,-1,4205,492,416,600,700,0,0,3855,0,0,0,300,0,8380
26_04_2021 18h05min03seg,119,-1,5730,641,6,600,400,0,0,5180,0,559,0,0,0,10280
26_04_2021 18h05min38seg,120,-1,4260,1015,1639,600,1125,0,0,3965,420,0,0,725,0,11500
26_04_2021 18h06min02seg,121,-1,5030,452,7,750,400,0,0,4380,0,839,0,150,0,8060
26_04_2021 18h06min51seg,122,-1,7819,910,97,650,475,0,0,7280,364,0,0,125,0,15080
26_04_2021 18h07min16seg,123,-1,5240,451,8,750,400,0,0,4590,0,811,0,150,0,8040
26_04_2021 18h07min41seg,124,-1,5425,454,15,750,400,0,0,4775,0,783,0,150,0,8100
26_04_2021 18h08min10seg,125,-1,5845,641,7,600,400,0,0,5195,0,671,0,0,0,10280
26_04_2021 18h08min34seg,126,-1,4675,505,6,600,400,0,0,4075,0,587,0,0,0,8100
26_04_2021 18h08min57seg,127,-1,4665,495,6,600,400,0,0,4015,0,699,0,0,0,7940
26_04_2021 18h09min24seg,128,-1,4415,521,512,600,775,0,0,4140,0,0,0,375,0,9060
26_04_2021 18h09min48seg,129,-1,4745,504,0,600,400,0,0,4095,0,671,0,0,0,8080
26_04_2021 18h10min19seg,130,-1,5240,631,375,600,700,0,0,4990,0,0,0,300,0,10600
26_04_2021 18h10min45seg,131,-1,4274,478,360,650,550,0,0,3400,624,0,0,200,0,8600
26_04_2021 18h11min06seg,132,-1,4210,442,10,600,400,0,0,3560,0,699,0,0,0,7100
26_04_2021 18h11min35seg,133,-1,5795,636,9,600,400,0,0,5145,0,727,0,0,0,10200
26_04_2021 18h12min02seg,134,-1,2895,515,188,600,600,0,0,3945,0,0,0,1100,0,9020
26_04_2021 18h12min27seg,135,-1,5055,496,15,650,400,0,0,4405,0,783,0,50,0,8240
26_04_2021 18h13min46seg,136,-1,4000,1812,6567,2650,1150,1550,0,6150,0,0,0,2800,0,21600
26_04_2021 18h14min18seg,137,-1,5435,652,504,600,700,0,0,5085,0,0,0,300,0,10880
26_04_2021 18h14min46seg,138,-1,4095,521,663,600,775,0,0,4070,0,0,0,375,0,9360
26_04_2021 18h15min14seg,139,-1,4385,510,375,600,700,0,0,4035,0,0,0,300,0,8700
26_04_2021 18h15min41seg,140,-1,3780,512,310,600,575,0,0,3965,140,0,0,575,0,8900
26_04_2021 18h16min11seg,141,-1,5055,623,727,600,600,0,0,4655,0,0,0,200,0,10260
26_04_2021 18h17min10seg,142,-1,5870,1149,3923,2350,1150,850,0,7420,0,0,0,2500,0,15900
26_04_2021 18h17min38seg,143,-1,4940,456,660,750,700,0,0,4590,0,0,0,450,0,8700
26_04_2021 18h18min07seg,144,-1,6055,333,1094,1100,700,0,0,5705,0,0,0,800,0,8600
26_04_2021 18h18min34seg,145,-1,4375,527,327,600,700,0,0,4225,0,0,0,300,0,9020
26_04_2021 18h19min05seg,146,-1,5924,660,89,600,475,0,0,4905,444,279,22,75,0,10720
26_04_2021 18h19min35seg,147,-1,5895,647,11,600,400,0,0,5245,0,671,0,0,0,10380
26_04_2021 18h20min07seg,148,-1,5605,656,297,600,700,0,0,5255,0,0,0,300,0,10880
26_04_2021 18h20min35seg,149,-1,4880,405,14,750,400,0,0,4230,0,783,0,150,0,7320
26_04_2021 18h21min12seg,150,-1,5944,584,373,750,575,0,0,5785,384,0,0,725,0,10720
26_04_2021 18h21min42seg,151,-1,5195,466,2,750,400,0,0,4545,0,783,0,150,0,8280
26_04_2021 18h22min19seg,152,-1,2695,654,3821,1600,1150,100,0,3595,0,0,0,1750,0,10380
26_04_2021 18h22min48seg,153,-1,4306,478,546,650,675,0,0,3755,176,0,0,325,0,8480
26_04_2021 18h23min14seg,154,-1,4585,503,10,600,400,0,0,4035,0,587,0,0,0,8080
26_04_2021 18h23min49seg,155,-1,5455,654,212,600,700,0,0,5255,0,0,0,400,0,10840
26_04_2021 18h24min25seg,156,-1,5400,843,472,600,850,0,0,5200,0,0,0,450,0,11120
26_04_2021 18h24min58seg,157,-1,2895,916,3174,750,1150,0,0,3495,0,0,0,1000,0,9840
26_04_2021 18h25min26seg,158,-1,4280,514,586,600,700,0,0,3930,0,0,0,300,0,8720
26_04_2021 18h25min51seg,159,-1,4344,500,267,600,575,0,0,3975,44,0,0,275,0,8480
26_04_2021 18h26min20seg,160,-1,4150,445,877,750,700,0,0,4600,0,0,0,950,0,8740
26_04_2021 18h26min45seg,161,-1,4340,517,0,600,400,0,0,4090,0,391,0,0,0,8280
26_04_2021 18h27min09seg,162,-1,4280,386,644,750,700,0,0,3930,0,0,0,450,0,7700
26_04_2021 18h27min44seg,163,-1,4762,638,906,650,775,0,0,4765,272,0,0,675,0,11340
26_04_2021 18h28min11seg,164,-1,5275,405,897,850,700,0,0,4925,0,0,0,550,0,8360
26_04_2021 18h28min38seg,165,-1,4150,503,616,600,700,0,0,3800,0,0,0,300,0,8580
26_04_2021 18h29min20seg,166,-1,3107,1088,2796,1650,1225,200,0,4200,232,0,0,1875,0,13180
26_04_2021 18h29min48seg,167,-1,4491,499,435,650,675,0,0,3800,316,0,0,325,0,8820
26_04_2021 18h30min14seg,168,-1,4544,507,213,600,475,0,0,3775,344,0,0,75,0,8540
26_04_2021 18h31min05seg,169,-1,7210,917,140,600,700,0,0,7260,0,0,0,300,0,15000
26_04_2021 18h31min29seg,170,-1,4860,520,0,600,400,0,0,4210,0,699,0,0,0,8320
26_04_2021 18h31min57seg,171,-1,5685,624,9,600,400,0,0,5035,0,699,0,0,0,10000
26_04_2021 18h32min49seg,172,-1,8110,961,82,600,575,0,0,7305,480,279,22,275,0,15520
26_04_2021 18h33min37seg,173,-1,8030,933,3,600,400,0,0,7480,0,559,0,0,0,14940
26_04_2021 18h34min09seg,174,-1,5342,669,0,600,475,0,0,5075,292,0,0,75,0,10880
26_04_2021 18h34min39seg,175,-1,5835,640,0,600,400,0,0,5185,0,699,0,0,0,10240
26_04_2021 18h35min03seg,176,-1,4700,477,13,650,400,0,0,4050,0,755,0,50,0,7920
26_04_2021 18h35min32seg,177,-1,5160,368,1013,1000,700,0,0,5060,0,0,0,700,0,8720
26_04_2021 18h35min57seg,178,-1,4969,454,169,750,475,0,0,4250,144,83,22,225,0,8300
26_04_2021 18h36min28seg,179,-1,6435,594,13,750,400,0,0,5935,0,727,0,150,0,10340
26_04_2021 18h36min52seg,180,-1,4800,515,9,600,400,0,0,4150,0,699,0,0,0,8260
26_04_2021 18h37min16seg,181,-1,4830,514,5,600,400,0,0,4180,0,727,0,0,0,8240
26_04_2021 18h37min40seg,182,-1,4760,508,0,600,400,0,0,4110,0,699,0,0,0,8140
26_04_2021 18h38min03seg,183,-1,4745,503,0,600,400,0,0,4095,0,699,0,0,0,8060
26_04_2021 18h38min40seg,184,-1,4234,1145,1251,875,1000,50,0,4235,624,0,0,925,50,11640
26_04_2021 18h39min15seg,185,-1,3395,1005,3900,1150,1150,0,0,4595,0,0,0,1450,0,10220
26_04_2021 18h39min45seg,186,-1,4355,446,570,750,700,0,0,4655,0,0,0,850,0,8660
26_04_2021 18h40min20seg,187,-1,6713,516,922,950,775,0,0,6400,88,0,0,725,0,10760
26_04_2021 18h41min09seg,188,-1,8610,864,12,750,400,0,0,8110,0,587,0,150,0,14660
26_04_2021 18h41min42seg,189,-1,5506,664,364,600,775,0,0,5065,216,0,0,375,0,11140
26_04_2021 18h42min10seg,190,-1,5690,625,12,600,400,0,0,5040,0,671,0,0,0,10020
26_04_2021 18h42min42seg,191,-1,5255,648,747,600,600,0,0,4805,0,0,0,200,0,10640
26_04_2021 18h43min30seg,192,-1,7450,899,251,600,600,0,0,7100,0,307,0,200,0,14540
26_04_2021 18h44min23seg,193,-1,3715,2478,3519,1300,1150,400,0,5065,0,0,0,1600,0,15580
26_04_2021 18h44min50seg,194,-1,4510,521,357,600,700,0,0,4160,0,0,0,300,0,8860
26_04_2021 18h45min23seg,195,-1,4750,649,1380,600,700,0,0,4400,0,0,0,300,0,10780
26_04_2021 18h45min48seg,196,-1,4305,503,238,600,500,0,0,4030,0,0,0,275,0,8480
26_04_2021 18h46min25seg,197,-1,5193,2033,1109,800,1125,0,0,4470,948,0,0,925,0,11220
