time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
27_04_2021 12h41min20seg,86,0,12610,1749,4890,750,675,0,0,10800,760,0,67,425,0,28800
27_04_2021 12h42min48seg,87,0,13466,1800,69,600,475,0,0,11140,1276,195,67,75,0,28800
27_04_2021 12h44min17seg,88,0,12997,1698,342,900,675,0,0,10795,1152,0,156,575,0,28800
27_04_2021 12h45min48seg,89,0,12794,1613,3212,1150,775,0,0,10800,944,0,156,925,0,28800
27_04_2021 12h47min16seg,90,0,11845,1630,7677,1100,700,0,0,10795,0,0,0,800,0,28800
27_04_2021 12h48min41seg,91,1,12322,2156,898,1425,1000,0,400,10790,932,0,156,1975,50,25800
27_04_2021 12h50min12seg,92,0,13327,1672,838,950,775,0,0,11115,1212,111,179,825,0,28800
27_04_2021 12h51min41seg,93,0,12950,1749,4782,750,475,0,0,10800,1100,0,67,225,0,28800
27_04_2021 12h53min07seg,94,0,11850,1749,2241,750,700,0,0,10800,0,0,0,450,0,28800
27_04_2021 12h54min43seg,95,0,14081,5827,8054,900,1375,0,0,10785,2246,0,0,1225,50,28800
27_04_2021 12h56min12seg,96,0,12954,1749,5006,750,775,0,0,10800,1104,0,0,525,0,28800
27_04_2021 12h57min44seg,97,0,12826,3154,3963,600,1225,0,0,10520,1256,139,67,825,0,28800
27_04_2021 12h59min12seg,98,0,13126,1749,1831,750,475,0,0,10800,1276,0,67,225,0,28800
27_04_2021 13h00min57seg,99,0,9510,2233,7765,1950,1150,0,0,9010,0,279,0,2650,0,28800
27_04_2021 13h02min31seg,100,0,12290,4095,7492,1675,1300,0,0,10800,440,0,67,1925,50,28800
27_04_2021 13h04min16seg,101,0,13144,3081,6545,1950,1375,0,0,10780,1864,0,156,2825,50,28800
27_04_2021 13h05min48seg,102,0,13104,1992,3331,750,1225,0,0,10830,1224,111,67,975,0,28800
27_04_2021 13h07min25seg,103,0,11679,1919,3269,1950,1225,0,0,10795,384,139,44,2725,0,28800
27_04_2021 13h08min57seg,104,0,13553,1664,5949,1000,775,0,0,10795,1708,0,156,775,0,28800
27_04_2021 13h10min24seg,105,0,11850,1749,4672,750,400,0,0,10800,0,0,0,150,0,28800
27_04_2021 13h12min01seg,106,0,14570,5114,768,1150,1375,0,0,11270,2250,139,78,1475,50,28800
